Word form,LWT code,Meaning,Core list,Borrowed status,Source words
vallei,1.24,the valley,TRUE,1. clearly borrowed,vallée 'valley' French
eiland,1.25,the island,TRUE,1. clearly borrowed,eiland 'eiland' Old Frisian
grot,1.28,the cave,TRUE,1. clearly borrowed,grotte 'grot' French
kalm,1.322,calm,TRUE,1. clearly borrowed,calme 'calm' French
oceaan,1.329,the ocean,TRUE,1. clearly borrowed,océan 'ocean' French
baai,1.34,the bay,TRUE,1. clearly borrowed,baie 'bay' French
lagune,1.341,the lagoon,TRUE,1. clearly borrowed,lagune 'lagoon' French
rif,1.342,the reef,TRUE,1. clearly borrowed,rif 'rif' Old Norse
kaap,1.343,the cape,TRUE,1. clearly borrowed,cap 'cape' French
rivier,1.36,the river or stream,TRUE,1. clearly borrowed,riviere 'rivier' French
bron,1.37,the spring or well,TRUE,1. clearly borrowed,Brunne 'bron' High German
moeras,1.38,the swamp,TRUE,1. clearly borrowed,marasc 'moeras' French (Picard)
savanne,1.411,the savanna,TRUE,1. clearly borrowed,savanne 'savanne' French
rots,1.44,the stone or rock,TRUE,1. clearly borrowed,roch 'rots' French (Picard)
vlam,1.82,the flame,TRUE,1. clearly borrowed,flamme 'flame' French
sintel,1.841,the embers,TRUE,1. clearly borrowed,sintel 'sintel' High German
lucifer,1.87,the match,TRUE,1. clearly borrowed,lucifer 'lucifer' English
persoon,2.1,the person,TRUE,1. clearly borrowed,persona 'person' Latin
baby,2.28,the baby,TRUE,1. clearly borrowed,baby 'baby' English
tante,2.52,the aunt,TRUE,1. clearly borrowed,tante 'aunt' French
tante,2.521,the mother's sister,TRUE,1. clearly borrowed,tante 'aunt' French
tante,2.522,the father's sister,TRUE,1. clearly borrowed,tante 'aunt' French
familie,2.81,the relatives,TRUE,1. clearly borrowed,famille 'relatives' French
verwanten,2.81,the relatives,TRUE,1. clearly borrowed,verwant 'verwanten' High German
beest,3.11,the animal,TRUE,1. clearly borrowed,beste 'beest' French
paard,3.41,the horse,TRUE,1. clearly borrowed,paraveredus 'paard' Latin
ezel,3.46,the donkey,TRUE,1. clearly borrowed,asinus 'donkey' Latin
adelaar,3.584,the eagle,TRUE,1. clearly borrowed,Adler 'adelaar' High German
papegaai,3.592,the parrot,TRUE,1. clearly borrowed,papegai 'papegaai' French
toekan,3.598,the toucan,TRUE,1. clearly borrowed,tucán 'toucan' Spanish
konijn,3.614,the rabbit,TRUE,1. clearly borrowed,conin 'konijn' French
kat,3.62,the cat,TRUE,1. clearly borrowed,catta 'kat' Latin
opossum,3.622,the opossum,TRUE,1. clearly borrowed,opossum 'opossum' English
haai,3.661,the shark,TRUE,1. clearly borrowed,hár 'haai' Old Norse
dolfijn,3.662,the porpoise or dolphin,TRUE,1. clearly borrowed,"dalfin, dauphin 'dolfijn' French"
leeuw,3.72,the lion,TRUE,1. clearly borrowed,leō 'lion' Latin
olifant,3.77,the elephant,TRUE,1. clearly borrowed,olifant 'elephant' French
kameel,3.78,the camel,TRUE,1. clearly borrowed,camēlus 'camel' Latin
insect,3.81,the insect,TRUE,1. clearly borrowed,insecte 'insect' French
schorpioen,3.815,the scorpion,TRUE,1. clearly borrowed,scorpion 'scorpion' French
kakkerlak,3.816,the cockroach,TRUE,1. clearly borrowed,cacalacca 'kakkerlak' Portuguese
muskiet,3.832,the mosquito,TRUE,1. clearly borrowed,mosquito 'little fly' Spanish
termiet,3.834,the termites,TRUE,1. clearly borrowed,termite 'termite' French
coyote,3.862,the coyote,TRUE,1. clearly borrowed,coyote 'coyote' Spanish
kariboe,3.871,the reindeer/caribou,TRUE,1. clearly borrowed,caribou 'caribou' French
rendier,3.871,the reindeer/caribou,TRUE,1. clearly borrowed,Rentier 'rendier' High German
eland,3.872,the elk/moose,TRUE,1. clearly borrowed,elen 'eland' High German
kangoeroe,3.88,the kangaroo,TRUE,1. clearly borrowed,kangaroo 'kangaroo' English
jaguar,3.9,the jaguar,TRUE,1. clearly borrowed,jaguar 'jaguar' English
kameleon,3.913,the chameleon,TRUE,1. clearly borrowed,caméléon 'kameleon' French
buffel,3.917,the buffalo,TRUE,1. clearly borrowed,buffle 'buffel' French
alligator,3.97,the crocodile or alligator,TRUE,1. clearly borrowed,alligator 'alligator' English
krokodil,3.97,the crocodile or alligator,TRUE,1. clearly borrowed,crocodile 'crocodile' French
tapir,3.99,the tapir,TRUE,1. clearly borrowed,tapir 'tapir' Spanish (uncertain)
,,,,,tapir 'tapir' Portuguese (uncertain)
roos,4.146,the dandruff,TRUE,1. clearly borrowed,rose 'a certain flower' French
bek,4.241,the beak,TRUE,1. clearly borrowed,bec 'beak' French
pols,4.321,the wrist,TRUE,1. clearly borrowed,pulsus 'pols' Latin
palm,4.331,the palm of the hand,TRUE,1. clearly borrowed,"palme, palma 'palm (1)' French"
testikels,4.49,the testicles,TRUE,1. clearly borrowed,testiculus 'testicle' Latin
penis,4.492,the penis,TRUE,1. clearly borrowed,pēnis 'brush' Latin
vagina,4.493,the vagina,TRUE,1. clearly borrowed,vagina 'vagina' Latin
vulva,4.494,the vulva,TRUE,1. clearly borrowed,vulva 'vulva' Latin
pissen,4.65,to piss,TRUE,1. clearly borrowed,pissier 'pissen' French
seks hebben,4.67,to have sex,TRUE,1. clearly borrowed,have sex 'seks hebben' English
kadaver,4.771,the carcass,TRUE,1. clearly borrowed,cadavre 'corpse' French
pus,4.857,the pus,TRUE,1. clearly borrowed,pūs 'pus' Latin
arts,4.87,the physician,TRUE,1. clearly borrowed,Artz 'arts' High German
dokter,4.87,the physician,TRUE,1. clearly borrowed,doctor 'physician' Latin
medicijn,4.88,the medicine,TRUE,1. clearly borrowed,medicīna 'medicine' Latin
gif,4.89,the poison,TRUE,1. clearly borrowed,Gift 'gif' High German
koken,5.21,to cook,TRUE,1. clearly borrowed,"cocere 'cook, boil' Latin"
koken,5.22,to boil,TRUE,1. clearly borrowed,"cocere 'cook, boil' Latin"
pot,5.26,the pot,TRUE,1. clearly borrowed,*pottus 'pot' Romance
ketel,5.27,the kettle,TRUE,1. clearly borrowed,catillus 'pot' Latin
pan,5.28,the pan,TRUE,1. clearly borrowed,panna 'pan' Latin
schotel,5.36,the saucer,TRUE,1. clearly borrowed,scutella 'schotel' Latin
vork,5.39,the fork,TRUE,1. clearly borrowed,furca 'forked branch' Latin
lunch,5.43,the lunch,TRUE,1. clearly borrowed,lunch 'lunch' English
diner,5.44,the dinner,TRUE,1. clearly borrowed,"dîner 'lunch, dinner' French"
