Entity,Code,Year,"Crude marriage rate (per 1,000 inhabitants)"
Albania,ALB,1960,7.8
Albania,ALB,1961,11.3
Albania,ALB,1962,7.5
Albania,ALB,1963,7.5
Albania,ALB,1964,7.2
Albania,ALB,1965,7.5
Albania,ALB,1966,6.8
Albania,ALB,1967,8.6
Albania,ALB,1968,7.8
Albania,ALB,1969,7.4
Albania,ALB,1970,6.8
Albania,ALB,1971,7
Albania,ALB,1972,7.2
Albania,ALB,1973,8
Albania,ALB,1975,7.8
Albania,ALB,1976,7.6
Albania,ALB,1977,7.9
Albania,ALB,1978,8
Albania,ALB,1979,8.2
Albania,ALB,1980,8.1
Albania,ALB,1981,8.5
Albania,ALB,1982,9
Albania,ALB,1983,9
Albania,ALB,1984,9.1
Albania,ALB,1985,8.5
Albania,ALB,1986,8.5
Albania,ALB,1987,8.9
Albania,ALB,1988,9
Albania,ALB,1989,8.6
Albania,ALB,1990,8.9
Albania,ALB,1991,7.7
Albania,ALB,1992,8.3
Albania,ALB,1993,8.1
Albania,ALB,1994,8.6
Albania,ALB,1995,8.3
Albania,ALB,1996,8.4
Albania,ALB,1997,7.2
Albania,ALB,1998,8.3
Albania,ALB,1999,8.5
Albania,ALB,2000,8.4
Albania,ALB,2001,8.4
Albania,ALB,2002,8.5
Albania,ALB,2003,8.8
Albania,ALB,2004,6.7
Albania,ALB,2005,6.9
Albania,ALB,2006,6.8
Albania,ALB,2007,7.1
Albania,ALB,2008,6.7
Albania,ALB,2013,8.2
Albania,ALB,2014,8.2
Albania,ALB,2015,8.7
Albania,ALB,2016,7.8
Albania,ALB,2017,7.9
Algeria,DZA,1967,4.699999809
Algeria,DZA,1985,5.599999905
Algeria,DZA,1995,5.5
Algeria,DZA,2005,8.5
Algeria,DZA,2007,9.600000381
American Samoa,ASM,1970,11.30000019
American Samoa,ASM,1985,10.19999981
American Samoa,ASM,1993,6.199999809
American Samoa,ASM,2005,3.099999905
American Samoa,ASM,2006,2.599999905
Andorra,AND,1976,5.099999905
Andorra,AND,1985,2.599999905
Andorra,AND,1996,1.899999976
Andorra,AND,2004,2.9
Andorra,AND,2005,2.9
Andorra,AND,2006,3.7
Andorra,AND,2007,3.1
Andorra,AND,2008,3.1
Andorra,AND,2009,3.1
Andorra,AND,2012,3.7
Angola,AGO,1970,4.300000191
Anguilla,AIA,1985,13.69999981
Anguilla,AIA,1995,19.70000076
Anguilla,AIA,2005,6.5
Anguilla,AIA,2006,5.5
Antigua and Barbuda,ATG,1971,4.599999905
Antigua and Barbuda,ATG,1985,4.099999905
Antigua and Barbuda,ATG,1995,21
